[2026-03-25T03:38:55.222Z] GET /api/settings
[2026-03-25T03:38:59.006Z] GET /api/invoices
[2026-03-25T03:39:08.805Z] OPTIONS /api/users
[2026-03-25T03:39:08.807Z] OPTIONS /api/products
[2026-03-25T03:39:08.812Z] GET /api/users
[2026-03-25T03:39:08.817Z] GET /api/products
[2026-03-25T03:39:11.613Z] OPTIONS /api/ocr/scan
[2026-03-25T03:39:11.616Z] POST /api/ocr/scan
[2026-03-25T03:39:30.822Z] OPTIONS /api/products
[2026-03-25T03:39:30.824Z] GET /api/products
[2026-03-25T03:39:43.840Z] OPTIONS /api/invoices
[2026-03-25T03:39:43.841Z] OPTIONS /api/settings
[2026-03-25T03:39:43.844Z] GET /api/invoices
[2026-03-25T03:39:43.845Z] GET /api/settings
[2026-03-25T03:39:46.069Z] OPTIONS /api/users
[2026-03-25T03:39:46.070Z] OPTIONS /api/products
[2026-03-25T03:39:46.075Z] GET /api/users
[2026-03-25T03:39:46.077Z] GET /api/products
[2026-03-25T03:39:49.270Z] OPTIONS /api/ocr/scan
[2026-03-25T03:39:49.276Z] POST /api/ocr/scan
[2026-03-25T03:40:09.716Z] OPTIONS /api/products
[2026-03-25T03:40:09.718Z] GET /api/products
[2026-03-25T03:40:14.064Z] OPTIONS /api/invoices
[2026-03-25T03:40:14.066Z] OPTIONS /api/settings
[2026-03-25T03:40:14.071Z] GET /api/invoices
[2026-03-25T03:40:14.073Z] GET /api/settings
[2026-03-25T03:40:15.156Z] GET /api/invoices
[2026-03-25T03:40:16.218Z] OPTIONS /api/users
[2026-03-25T03:40:16.219Z] OPTIONS /api/products
[2026-03-25T03:40:16.224Z] GET /api/users
[2026-03-25T03:40:16.233Z] GET /api/products
[2026-03-25T03:50:44.850Z] OPTIONS /api/products
[2026-03-25T03:50:44.855Z] GET /api/products
[2026-03-25T03:50:45.300Z] OPTIONS /api/users
[2026-03-25T03:50:45.304Z] GET /api/users
[2026-03-25T03:50:45.566Z] OPTIONS /api/settings
[2026-03-25T03:50:45.568Z] GET /api/settings
[2026-03-25T03:50:54.073Z] OPTIONS /api/users
[2026-03-25T03:50:54.074Z] OPTIONS /api/products
[2026-03-25T03:50:54.138Z] GET /api/users
[2026-03-25T03:50:54.142Z] GET /api/products
[2026-03-25T03:51:42.808Z] OPTIONS /api/settings
[2026-03-25T03:51:42.813Z] GET /api/settings
[2026-03-25T03:51:46.464Z] OPTIONS /api/users
[2026-03-25T03:51:46.469Z] GET /api/users
[2026-03-25T03:51:46.480Z] OPTIONS /api/products
[2026-03-25T03:51:46.482Z] GET /api/products
[2026-03-25T03:51:47.410Z] OPTIONS /api/products
[2026-03-25T03:51:47.416Z] GET /api/products
[2026-03-25T03:51:48.327Z] OPTIONS /api/users
[2026-03-25T03:51:48.331Z] GET /api/users
[2026-03-25T03:51:49.433Z] OPTIONS /api/invoices
[2026-03-25T03:51:49.439Z] GET /api/invoices
[2026-03-25T03:51:49.741Z] GET /api/invoices
[2026-03-25T03:51:50.147Z] OPTIONS /api/settings
[2026-03-25T03:51:50.151Z] GET /api/invoices
[2026-03-25T03:51:50.153Z] GET /api/settings
[2026-03-25T03:52:02.917Z] OPTIONS /api/users
[2026-03-25T03:52:02.924Z] GET /api/users
[2026-03-25T03:52:02.934Z] OPTIONS /api/products
[2026-03-25T03:52:02.937Z] GET /api/products
[2026-03-25T03:53:12.975Z] OPTIONS /api/products
[2026-03-25T03:53:12.991Z] GET /api/products
[2026-03-25T03:53:17.528Z] OPTIONS /api/users
[2026-03-25T03:53:17.535Z] GET /api/products
[2026-03-25T03:53:17.539Z] GET /api/users
[2026-03-25T03:54:32.255Z] OPTIONS /api/invoices
[2026-03-25T03:54:32.283Z] GET /api/invoices
[2026-03-25T03:54:39.230Z] OPTIONS /api/invoice-detail?id=INV%2F2024%2F03%2F25-TEST
[2026-03-25T03:54:39.272Z] GET /api/invoice-detail?id=INV%2F2024%2F03%2F25-TEST
[2026-03-25T03:54:45.615Z] OPTIONS /api/settings
[2026-03-25T03:54:45.638Z] GET /api/settings
[2026-03-25T03:54:57.730Z] OPTIONS /api/users
[2026-03-25T03:54:57.742Z] GET /api/users
[2026-03-25T03:54:57.758Z] OPTIONS /api/products
[2026-03-25T03:54:57.772Z] GET /api/products
